timestamp,open,high,low,close,volume
2019-05-10,1.9600,1.9700,1.9400,1.9700,53135
2019-05-09,1.9423,1.9700,1.9404,1.9647,26697
2019-05-08,1.9500,1.9700,1.9269,1.9700,111541
2019-05-07,1.9500,1.9700,1.9500,1.9700,17960
2019-05-06,1.9600,1.9700,1.9500,1.9700,17647
2019-05-03,1.9600,1.9684,1.9400,1.9600,78410
2019-05-02,1.9100,1.9800,1.9100,1.9600,72136
2019-05-01,1.9200,1.9400,1.9100,1.9100,21157
2019-04-30,1.9400,1.9600,1.9300,1.9399,45095
2019-04-29,1.9500,1.9500,1.9200,1.9400,34752
2019-04-26,1.9400,1.9569,1.9200,1.9350,34475
2019-04-25,1.9400,1.9569,1.9200,1.9490,54027
2019-04-24,1.9300,1.9499,1.9200,1.9300,76312
2019-04-23,1.9200,1.9300,1.9000,1.9300,331578
2019-04-22,1.8900,1.9500,1.8900,1.9189,320310
2019-04-18,1.9000,1.9000,1.8809,1.8922,21237
2019-04-17,1.8999,1.9000,1.8799,1.8937,89011
2019-04-16,1.8800,1.9075,1.8800,1.9000,29288
2019-04-15,1.8800,1.9000,1.8800,1.8800,18984
2019-04-12,1.8900,1.9089,1.8900,1.9000,56804
2019-04-11,1.9000,1.9200,1.8900,1.8900,27277
2019-04-10,1.9000,1.9200,1.8900,1.9050,9622
2019-04-09,1.9000,1.9450,1.8800,1.9004,25021
2019-04-08,1.9000,1.9299,1.8800,1.9100,55366
2019-04-05,1.9550,1.9654,1.8821,1.9350,37310
2019-04-04,1.9300,1.9799,1.9200,1.9550,22861
2019-04-03,1.9200,1.9500,1.9200,1.9300,27037
2019-04-02,1.8556,1.9800,1.8500,1.9700,243514
2019-04-01,1.8600,1.8800,1.8500,1.8600,18472
2019-03-29,1.8300,1.8769,1.8300,1.8600,49128
2019-03-28,1.8700,1.8900,1.8700,1.8885,22293
2019-03-27,1.8740,1.8800,1.8600,1.8700,18076
2019-03-26,1.8700,1.8900,1.8500,1.8800,14900
2019-03-25,1.8700,1.8954,1.8600,1.8600,26421
2019-03-22,1.9000,1.9138,1.8900,1.8900,13638
2019-03-21,1.8931,1.9300,1.8800,1.9200,31517
2019-03-20,1.8900,1.9100,1.8900,1.9100,10072
2019-03-19,1.8700,1.9100,1.8700,1.9100,49171
2019-03-18,1.8800,1.9100,1.8700,1.8700,46629
2019-03-15,1.9200,1.9400,1.8900,1.8900,32224
2019-03-14,1.8700,1.9450,1.8700,1.9400,70979
2019-03-13,1.8800,1.9000,1.8700,1.8750,18380
2019-03-12,1.8900,1.9100,1.8700,1.8700,110292
2019-03-11,1.9000,1.9169,1.8800,1.8969,209551
2019-03-08,1.8800,1.9330,1.8600,1.8900,378723
2019-03-07,1.8800,1.8973,1.8700,1.8800,37916
2019-03-06,1.8700,1.8969,1.8507,1.8700,128284
2019-03-05,1.8800,1.9000,1.8500,1.8666,92169
2019-03-04,1.8800,1.9199,1.8700,1.8800,72505
2019-03-01,1.9101,1.9269,1.8900,1.9068,42029
2019-02-28,1.9200,1.9400,1.9200,1.9266,18562
2019-02-27,1.9200,1.9300,1.9147,1.9277,38737
2019-02-26,1.9400,1.9450,1.9200,1.9200,33158
2019-02-25,1.9400,1.9500,1.9300,1.9300,34077
2019-02-22,1.9204,1.9454,1.8900,1.9210,57213
2019-02-21,1.9100,1.9310,1.9001,1.9310,7515
2019-02-20,1.9341,1.9421,1.9000,1.9100,31038
2019-02-19,1.9300,1.9500,1.9300,1.9403,10279
2019-02-15,1.9170,1.9368,1.9000,1.9368,27761
2019-02-14,1.8848,1.9000,1.8800,1.8990,24734
2019-02-13,1.9000,1.9469,1.8750,1.8932,79353
2019-02-12,1.9000,1.9000,1.8701,1.8850,50380
2019-02-11,1.9500,1.9500,1.8900,1.9000,24509
2019-02-08,1.9296,1.9464,1.8900,1.9452,80488
2019-02-07,1.9400,1.9500,1.9100,1.9300,28861
2019-02-06,1.9200,2.0251,1.9101,1.9500,65695
2019-02-05,1.9300,1.9500,1.9100,1.9400,23998
2019-02-04,1.9400,1.9400,1.8900,1.9150,7970
2019-02-01,1.9300,1.9500,1.9200,1.9400,4325
2019-01-31,1.9500,1.9500,1.9300,1.9400,10082
2019-01-30,1.9715,1.9715,1.9400,1.9400,24028
2019-01-29,1.9500,1.9785,1.9158,1.9703,8039
2019-01-28,1.9700,1.9700,1.9400,1.9550,15148
2019-01-25,2.0000,2.0800,1.9400,2.0000,34012
2019-01-24,2.0500,2.0754,1.9900,2.0100,9177
2019-01-23,2.1000,2.1200,2.0585,2.0600,20497
2019-01-22,2.0100,2.1000,2.0100,2.1000,85452
2019-01-18,2.0200,2.0200,1.9500,2.0100,39094
2019-01-17,1.9794,2.0300,1.9701,2.0300,45180
2019-01-16,1.9700,1.9800,1.9700,1.9800,18707
2019-01-15,1.9502,1.9784,1.9500,1.9784,35996
2019-01-14,1.9300,1.9600,1.9200,1.9600,38052
2019-01-11,1.9193,1.9400,1.9100,1.9400,31348
2019-01-10,1.9200,1.9400,1.9000,1.9168,56409
2019-01-09,1.9000,1.9200,1.8800,1.9168,59390
2019-01-08,1.8500,1.9300,1.8500,1.8900,74648
2019-01-07,1.8300,1.8673,1.8000,1.8600,65453
2019-01-04,1.8300,1.8500,1.7942,1.8200,18066
2019-01-03,1.8000,1.8300,1.7704,1.7900,39802
2019-01-02,1.7400,1.8000,1.7300,1.8000,27456
2018-12-31,1.7400,1.7800,1.7200,1.7500,95839
2018-12-28,1.7500,1.7780,1.7468,1.7500,94154
2018-12-27,1.7400,1.7900,1.7400,1.7500,44285
2018-12-26,1.7800,1.7800,1.7400,1.7632,28880
2018-12-24,1.7900,1.8191,1.7600,1.7899,42941
2018-12-21,1.7800,1.8900,1.7714,1.8300,85928
2018-12-20,1.8000,1.8300,1.7600,1.8050,85180
2018-12-19,1.7800,1.8300,1.7700,1.8000,123741
2018-12-18,1.8200,1.8738,1.7900,1.7900,117192
2018-12-17,1.8600,1.8800,1.8200,1.8200,98012
2018-12-14,1.9000,1.9399,1.8900,1.9099,52969
2018-12-13,1.8900,1.9500,1.8700,1.9000,189948
2018-12-12,1.9300,1.9300,1.8800,1.9185,68350
2018-12-11,1.9200,1.9479,1.8900,1.9154,88227
2018-12-10,1.9700,1.9800,1.8851,1.9100,23538
2018-12-07,1.9400,1.9800,1.8900,1.9676,137720
2018-12-06,1.9300,1.9800,1.9300,1.9400,53094
2018-12-04,1.9600,1.9685,1.9300,1.9569,14871
2018-12-03,1.9800,1.9800,1.9500,1.9800,8466
2018-11-30,1.9760,1.9869,1.9500,1.9500,15603
2018-11-29,1.9840,2.0073,1.9500,1.9600,21174
2018-11-28,2.0000,2.0000,1.9800,2.0000,6772
2018-11-27,1.9500,2.0201,1.9200,1.9800,16873
2018-11-26,2.0200,2.0200,2.0052,2.0100,5109
2018-11-23,1.9800,2.0200,1.9701,2.0200,3425
2018-11-21,2.0240,2.0300,1.9800,2.0200,20539
2018-11-20,2.0200,2.0300,1.9700,2.0300,52618
2018-11-19,2.0100,2.0300,1.9808,2.0200,53015
2018-11-16,1.9801,2.0300,1.9800,1.9900,66996
2018-11-15,2.0100,2.0500,1.9300,2.0300,67691
2018-11-14,2.0300,2.0400,2.0100,2.0200,45724
2018-11-13,2.0301,2.0309,2.0200,2.0277,10483
2018-11-12,2.0300,2.0500,2.0100,2.0100,8785
2018-11-09,2.0210,2.0650,2.0100,2.0600,28691
2018-11-08,2.0400,2.0800,2.0320,2.0351,48948
2018-11-07,2.0600,2.0900,2.0600,2.0600,35776
2018-11-06,2.0500,2.0800,2.0300,2.0600,66326
2018-11-05,2.0300,2.0600,2.0300,2.0500,41431
2018-11-02,2.0500,2.0700,2.0400,2.0415,63071
2018-11-01,2.0100,2.0600,2.0100,2.0600,22100
2018-10-31,2.0400,2.0600,2.0100,2.0100,11096
2018-10-30,2.0200,2.0600,2.0200,2.0400,45031
2018-10-29,2.0300,2.0400,2.0200,2.0300,16158
2018-10-26,2.0000,2.0600,1.9950,2.0000,57389
2018-10-25,2.0000,2.0500,1.9200,2.0000,92677
2018-10-24,2.0300,2.0400,1.9700,2.0200,76712
2018-10-23,2.0100,2.0800,1.9900,2.0500,18172
2018-10-22,2.0900,2.1089,1.9600,1.9900,147293
2018-10-19,2.1300,2.1500,2.1000,2.1050,37703
2018-10-18,2.1700,2.1700,2.1200,2.1300,19695
2018-10-17,2.1400,2.2000,2.1400,2.1900,7585
2018-10-16,2.1443,2.2000,2.1443,2.1900,13099
2018-10-15,2.1400,2.2000,2.1200,2.1300,49488
2018-10-12,2.1500,2.2000,2.1400,2.1500,25292
2018-10-11,2.2000,2.2000,2.1100,2.1500,38975
2018-10-10,2.2900,2.3255,2.1300,2.2000,39682
2018-10-09,2.1400,2.2399,2.1100,2.2399,15939
2018-10-08,2.3000,2.3000,2.1200,2.1400,68046
2018-10-05,2.3000,2.3800,2.2200,2.2850,79000
2018-10-04,2.2500,2.2800,2.2100,2.2600,1222847
2018-10-03,2.2500,2.2500,2.2100,2.2200,7836
2018-10-02,2.1900,2.2700,2.1900,2.2700,148695
2018-10-01,2.1600,2.1956,2.1600,2.1700,15580
2018-09-28,2.2300,2.2300,2.1603,2.1708,20599
2018-09-27,2.1900,2.2300,2.1600,2.2300,2980
2018-09-26,2.2000,2.2000,2.1900,2.1953,8651
2018-09-25,2.2100,2.2110,2.1600,2.1892,12003
2018-09-24,2.2500,2.2800,2.1800,2.2100,83705
2018-09-21,2.1600,2.1894,2.1500,2.1500,8871
2018-09-20,2.1900,2.1999,2.1500,2.1500,16766
2018-09-19,2.2000,2.2146,2.1400,2.1900,65835
2018-09-18,2.2500,2.2500,2.1400,2.2000,23876
2018-09-17,2.2700,2.2790,2.1300,2.2500,93652
2018-09-14,2.2700,2.2700,2.2500,2.2600,5806
2018-09-13,2.2000,2.2447,2.2000,2.2400,50941
2018-09-12,2.1668,2.2000,2.1500,2.1800,69067
2018-09-11,2.1400,2.1890,2.1400,2.1700,30233
2018-09-10,2.1800,2.1800,2.1200,2.1200,51374
2018-09-07,2.1800,2.1800,2.1600,2.1699,30716
2018-09-06,2.2500,2.2500,2.1600,2.1700,47146
2018-09-05,2.2700,2.2744,2.2165,2.2500,26066
2018-09-04,2.2400,2.2700,2.2400,2.2700,11642
2018-08-31,2.2000,2.2675,2.1700,2.2300,59071
2018-08-30,2.2800,2.2910,2.2600,2.2700,27618
2018-08-29,2.2900,2.2999,2.2700,2.2800,29398
2018-08-28,2.3200,2.3200,2.2924,2.3000,7487
2018-08-27,2.3400,2.3800,2.2600,2.3100,58326
2018-08-24,2.3200,2.3800,2.3054,2.3800,16664
2018-08-23,2.3200,2.3200,2.3000,2.3100,14163
2018-08-22,2.3100,2.3462,2.3100,2.3199,21437
2018-08-21,2.3500,2.3990,2.3200,2.3200,17790
2018-08-20,2.3100,2.3500,2.3100,2.3500,38819
2018-08-17,2.4100,2.4200,2.3100,2.3100,34490
2018-08-16,2.3890,2.4500,2.3590,2.4227,37393
2018-08-15,2.3700,2.3963,2.2700,2.3200,63782
2018-08-14,2.3900,2.4490,2.3588,2.3915,25693
2018-08-13,2.3900,2.3900,2.3301,2.3800,26178
2018-08-10,2.4000,2.4000,2.3500,2.3700,51255
2018-08-09,2.4600,2.4600,2.3300,2.4000,67527
2018-08-08,2.4500,2.4990,2.4110,2.4600,122191
2018-08-07,2.3500,2.5000,2.3490,2.4500,193530
2018-08-06,2.2700,2.3900,2.2300,2.3550,197712
2018-08-03,2.3200,2.3499,2.2300,2.2899,46646
2018-08-02,2.3000,2.3700,2.2566,2.3000,116410
2018-08-01,2.2300,2.2500,2.2200,2.2200,17089
2018-07-31,2.2000,2.2400,2.2000,2.2345,16415
2018-07-30,2.2200,2.2299,2.2000,2.2000,33583
2018-07-27,2.1900,2.2200,2.1891,2.2000,17804
2018-07-26,2.2600,2.2600,2.1800,2.1900,46831
2018-07-25,2.2100,2.2500,2.1800,2.2500,20074
2018-07-24,2.2400,2.2600,2.1800,2.2134,52362
2018-07-23,2.2200,2.2500,2.1819,2.2200,46085
2018-07-20,2.2000,2.2136,2.1365,2.2136,38557
2018-07-19,2.2400,2.2400,2.1618,2.1701,27409
2018-07-18,2.1728,2.2200,2.1575,2.2100,9863
2018-07-17,2.1900,2.2000,2.1400,2.1800,118837
2018-07-16,2.1600,2.1700,2.1500,2.1675,32129
2018-07-13,2.1400,2.1844,2.1400,2.1600,16408
2018-07-12,2.1800,2.2080,2.1500,2.1500,32157
2018-07-11,2.2000,2.2300,2.1700,2.1700,31634
2018-07-10,2.1700,2.2800,2.1700,2.2200,37573
2018-07-09,2.2300,2.2745,2.1400,2.1600,147670
2018-07-06,2.2500,2.2900,2.2100,2.2200,141638
2018-07-05,2.2600,2.3500,2.2600,2.2901,116352
2018-07-03,2.3000,2.3200,2.2500,2.2600,74833
2018-07-02,2.3000,2.3180,2.2200,2.2900,67043
2018-06-29,2.3200,2.3200,2.2800,2.3100,42874
2018-06-28,2.3000,2.3200,2.2700,2.3200,26352
2018-06-27,2.3600,2.3600,2.3000,2.3000,77369
2018-06-26,2.3500,2.3600,2.3226,2.3600,39543
2018-06-25,2.2900,2.3500,2.2700,2.3400,93328
2018-06-22,2.2500,2.2999,2.2500,2.2970,19606
2018-06-21,2.2500,2.2890,2.2400,2.2500,17988
2018-06-20,2.2500,2.2690,2.2200,2.2600,29431
2018-06-19,2.2600,2.2600,2.2100,2.2299,34698
2018-06-18,2.2800,2.2800,2.2500,2.2501,81252
2018-06-15,2.3100,2.3100,2.2600,2.2800,113136
2018-06-14,2.3400,2.3400,2.3000,2.3200,69888
2018-06-13,2.2600,2.3100,2.2600,2.2900,38532
2018-06-12,2.2800,2.3400,2.2600,2.2700,245837
2018-06-11,2.3000,2.3200,2.2600,2.2700,106691
2018-06-08,2.2300,2.3289,2.1600,2.3000,155120
2018-06-07,2.1800,2.2500,2.1700,2.2500,51473
2018-06-06,2.2000,2.2202,2.1600,2.1600,117208
2018-06-05,2.2000,2.2500,2.1800,2.1948,83081
2018-06-04,2.2000,2.2298,2.1900,2.2010,66022
2018-06-01,2.2100,2.2100,2.1800,2.2000,30162
2018-05-31,2.1900,2.2000,2.1450,2.1700,65789
2018-05-30,2.1800,2.2100,2.1757,2.1800,147361
2018-05-29,2.1300,2.2100,2.1300,2.1900,59695
2018-05-25,2.1900,2.1900,2.1600,2.1700,61779
2018-05-24,2.1800,2.2299,2.1800,2.1900,24034
2018-05-23,2.2200,2.2244,2.1891,2.2000,31545
2018-05-22,2.2400,2.2800,2.2200,2.2300,135416
2018-05-21,2.3000,2.3000,2.1930,2.2300,136112
2018-05-18,2.1700,2.3000,2.1700,2.2900,50846
2018-05-17,2.1900,2.1989,2.1600,2.1800,40768
2018-05-16,2.1700,2.2226,2.1700,2.1900,86814
2018-05-15,2.1300,2.2193,2.1300,2.1600,56921
2018-05-14,2.2000,2.2140,2.1400,2.1400,153117
2018-05-11,2.3900,2.3900,2.1900,2.2100,103702
2018-05-10,2.1600,2.4500,2.1500,2.1900,488246
2018-05-09,2.1900,2.1900,2.0800,2.1300,31527
2018-05-08,2.1800,2.2200,2.0201,2.1900,93410
2018-05-07,2.0300,2.2200,1.9600,2.1600,172333
2018-05-04,1.9600,2.1100,1.9600,2.0400,115809
2018-05-03,1.9700,2.0300,1.9000,1.9000,114434
2018-05-02,1.8900,1.9700,1.8600,1.9700,63096
2018-05-01,1.8700,1.9000,1.8600,1.9000,20675
2018-04-30,1.8700,1.8963,1.8300,1.8500,25855
2018-04-27,1.8600,1.9000,1.8600,1.9000,17901
2018-04-26,1.8500,1.8600,1.8300,1.8300,11615
2018-04-25,1.8300,1.8620,1.8000,1.8262,41226
2018-04-24,1.8500,1.9000,1.8300,1.8400,26643
2018-04-23,1.8900,1.9000,1.8500,1.8600,61398
2018-04-20,1.8900,1.9399,1.8840,1.9100,10513
2018-04-19,1.9500,1.9500,1.8857,1.8963,7730
2018-04-18,1.9500,1.9500,1.9400,1.9497,21490
2018-04-17,1.9300,1.9500,1.9150,1.9400,17415
2018-04-16,1.9400,1.9500,1.9300,1.9300,14220
2018-04-13,1.8700,1.9400,1.8700,1.9199,49155
2018-04-12,1.7900,1.8900,1.7900,1.8800,108585
2018-04-11,1.7700,1.8300,1.7617,1.7900,66307
2018-04-10,1.8100,1.8240,1.7450,1.8000,672512
2018-04-09,1.8300,1.8499,1.7900,1.8200,79193
2018-04-06,1.8600,1.8700,1.8200,1.8538,12064
2018-04-05,1.8500,1.8600,1.8400,1.8600,24022
2018-04-04,1.8300,1.8700,1.8300,1.8400,27598
2018-04-03,1.8700,1.8700,1.8291,1.8663,65736
2018-04-02,1.8600,1.8800,1.8500,1.8700,34602
2018-03-29,1.8900,1.8900,1.8600,1.8600,7517
2018-03-28,1.8400,1.8900,1.8400,1.8673,23014
2018-03-27,1.9400,1.9400,1.8300,1.8300,83912
2018-03-26,1.9500,1.9500,1.9100,1.9300,17138
2018-03-23,1.9400,1.9500,1.8700,1.9000,39826
2018-03-22,1.9400,1.9500,1.9100,1.9210,20628
